Customer code,R,F,M,labels
2,218,1540,-0.312678765197504,1
353,235,11,0.27457610902062,1
412,341,1,-0.220707934051807,1
1067,1226,3,0.183985568467946,0
1072,426,3,-0.333062218199112,1
1076,246,2,-0.23093048630125723,1
1080,356,23,-0.08560010345961898,1
1090,640,6,1.7402303099984942,2
1091,333,11,-0.510055296899832,1
1093,454,10,-0.16674693631303725,1
1095,309,23,-0.39623603780298705,1
1102,298,39,-0.0023494868592342324,1
1109,1068,2,-0.08701602987504597,0
1116,627,5,0.8151143568851478,2
1121,1156,2,-0.5079279606232481,0
1125,406,20,0.3766117693869817,1
1129,1079,3,0.42837725441788294,0
1131,641,19,-0.27345962912070537,2
1132,463,10,-0.1894925870606353,1
1134,440,8,-0.3250893766822298,1
1150,257,9,-0.07136181508386577,1
1154,313,20,-0.28608923776390255,1
1158,853,6,-1.018304364585057,2
1159,251,12,-0.5790936110535733,1
1161,262,17,-0.29135802522049803,1
1168,221,10,-0.6292167904977779,1
1169,434,13,-0.3597757318835196,1
1176,250,79,0.19766021067529513,1
1177,242,15,-0.006414649811663953,1
1181,979,6,-0.28953903762567545,0
1201,257,3,-0.7710636736184461,1
1202,217,18,0.08819680153052317,1
1204,853,15,-0.0054888043236973934,2
1215,620,2,-0.48484070914157307,2
1217,361,8,-0.08492273807675164,1
1223,245,2,-0.19996582497926746,1
1228,767,5,-0.5331600736750022,2
1229,375,26,-0.43144318178215496,1
1232,371,2,-0.45362833052900803,1
1243,271,14,-0.3893303393814216,1
1245,1128,3,-0.44355045081576117,0
1258,693,29,0.2733073687901029,2
1266,335,33,1.1394532160844897,1
1268,218,80,-0.11593842379956991,1
1281,1181,3,0.024690964763103007,0
1299,719,5,-0.034809550366474554,2
1302,242,9,-0.3017043697220957,1
1316,529,7,-0.3234047555443123,2
1319,232,50,0.801399024622494,1
1324,264,15,0.1259290387113512,1
1330,970,10,0.20144286557452298,0
1339,817,4,-0.3147394386353548,2
1342,397,10,-0.10171164279545937,1
1344,668,8,0.09193109933949128,2
1346,395,1,-0.228176610362671,1
1356,483,15,-0.348550104675291,1
1364,426,22,-0.39801431460541037,1
1365,984,5,-0.294602129918129,0
1370,1149,5,-0.3344041055814146,0
1385,1026,10,7.839211618278784,0
1388,671,17,-0.10923683825890683,2
1396,375,6,-0.3044694926302281,1
1400,894,6,1.0749646766182421,0
1402,694,4,0.002558542397206487,2
1405,522,20,0.06982795733990495,2
1413,329,22,-0.22126099449941647,1
1419,523,12,-0.2663258945253768,2
1421,438,6,-0.5332488817333005,1
1422,1028,2,-0.0652715271476835,0
1426,503,8,-0.44776024008448706,2
1451,468,11,0.6083467774042658,1
1452,558,17,-0.31890583938114436,2
1460,334,20,0.10427968053655184,1
1466,368,3,-0.2610633157807469,1
1470,540,25,-0.3542844550042657,2
1471,885,4,-0.257522937444582,0
1480,379,2,-0.20534129018476494,1
1484,494,14,4.820647183489866,2
1488,489,2,-0.46509144815040804,2
1492,432,28,0.5582721265760727,1
1500,1253,4,-0.09845289510215222,0
1502,279,17,-0.23427685358314493,1
1503,735,9,-0.7294767133174742,2
1505,845,6,-0.5657865478504477,2
1506,1253,4,8.850178784353037,0
1508,285,24,-0.42388279618600005,1
1514,929,5,0.057339114201474,0
1519,374,15,-0.016861197601865607,1
1521,683,7,-0.3631819594785397,2
1522,271,2,-0.498428002529662,1
1524,445,2,-0.1708466574720687,1
1525,519,8,-0.3431017491269163,2
1529,483,16,3.3048841780758123,1
1533,320,10,-0.15753396011020968,1
1534,238,42,-0.34472810973078793,1
1544,783,2,-0.498229828697202,2
1545,495,7,-0.3423757713809177,2
1547,525,2,-0.08062999916339002,2
1548,323,22,1.5061134164852,1
1554,635,7,-1.8213832629163194,2
1559,922,5,-0.36674979079836506,0
1560,1077,2,0.01902864575437302,0
1565,894,11,-0.33445098678347046,0
1573,385,25,-0.036785819050708615,1
1575,249,15,1.3732340447248843,1
1583,671,8,-0.09568378361044472,2
1588,624,10,-0.020596257091370362,2
1590,247,27,-0.016870010094347947,1
1607,218,15,-0.1487051094430086,1
1610,432,11,-0.14245677178276533,1
1615,320,13,0.4675345760922936,1
1624,300,24,0.1887964731459014,1
1627,239,15,0.4795882214745787,1
1652,1239,2,-0.06213592450282701,0
1661,1117,6,-0.33692107698889967,0
1665,1236,3,-0.23356037550703002,0
1672,379,5,0.981445679875415,1
1676,1261,2,-0.09903960786637503,0
1681,529,30,0.7199360066379202,2
1687,244,1,-0.253753420614635,1
1688,465,22,0.30657153591572395,1
1693,259,2,0.03473392197688599,1
1694,397,27,-0.21836208447270347,1
1698,1131,4,-0.19379147151166295,0
1701,279,28,0.34954291285651207,1
1705,1229,2,-0.2926678280450402,0
1706,1006,8,0.33120804253225994,0
1721,246,15,-0.35412457296161737,1
1729,386,14,-0.394861641560943,1
1730,767,7,-0.506398434441468,2
1732,991,3,-0.5590486375467827,0
1738,942,6,-0.9107702887460511,0
1741,266,22,-0.18964036402991,1
1747,515,13,0.1621063857966535,2
1768,293,5,-0.45917930484450525,1
1770,314,5,-0.31428698441374436,1
1778,480,9,0.032271113854726606,1
1779,866,2,-0.5232368891808401,0
1780,346,36,-0.4079116690061657,1
1784,593,1,0.0734191909135085,2
1787,570,17,-0.447489485555763,2
1788,1043,2,-0.2082891259426183,0
1810,218,55,-0.04706124485939202,1
1817,519,10,0.7153866762471154,2
1821,1167,4,0.730909548091828,0
1840,286,7,-0.2719456170486744,1
1844,266,17,0.9783480155032266,1
1849,1175,8,-0.48860882130045574,0
1867,883,2,-0.5232368891808401,0
1885,845,2,-0.5232368891808401,2
1888,228,107,0.5937148288773025,1
1889,739,8,-0.4235000472319345,2
1899,488,21,-0.8308361004247569,2
1901,361,13,-0.10078780002097801,1
1902,414,9,0.1445546134910613,1
1903,322,2,-0.238362005018535,1
1905,964,10,0.2013635960415363,0
1916,834,5,0.8361687783510351,2
1918,586,1,-0.0252961493809947,2
1919,313,39,1.0267308653296034,1
1920,578,5,-0.26637660253668305,2
1928,1301,2,-0.1740545963850268,0
1945,320,9,-0.10844741583268,1
1946,230,29,0.7708644638506567,1
1947,354,4,0.72958611846693,1
1952,250,17,0.33775361872513515,1
1956,246,20,-0.2523465154985657,1
1984,278,10,-0.2829336157260047,1
2026,1236,4,1.3110632005418457,0
2069,238,45,1.13968081596195,1
2080,680,2,-0.25790268523178195,2
2081,949,1,-0.21634810973767102,0
2154,330,11,-0.4933219939214287,1
2171,382,2,-0.52189921581173,1
2490,627,19,0.24953896049036656,2
2535,329,29,0.21648142018837038,1
2594,244,27,0.31804754656741524,1
2663,620,3,-0.734519180326233,2
2688,276,28,0.5236418374931262,1
2691,474,27,-0.09273830056882813,1
2714,1110,4,0.6072482152643242,0
2733,519,16,0.17735142356362485,2
2757,665,1,-0.0299408485792932,2
2763,551,18,0.2681415314399253,2
2793,340,7,-0.047325899508206,1
2808,483,13,2.495803580999599,1
2812,841,11,0.1351027111422194,2
2870,601,4,-0.3656081842551194,2
2895,391,13,0.021039201387241663,1
2912,788,9,-0.13252900663316772,2
2977,882,4,-0.15930674749058896,0
3034,592,22,-0.46696668305514116,2
3092,322,13,0.285385496483309,1
3118,1176,2,-0.2961296771808396,0
3199,662,10,-0.4138742895710751,2
3200,228,11,-0.21965430445469786,1
3231,258,4,0.3207102191424145,1
3253,1133,2,0.019530273267788945,0
3286,508,18,-0.3949369646956146,2
3294,435,7,-0.34818267753416876,1
3317,859,19,0.16203972829037802,0
3328,477,3,-0.21552655675310295,1
3348,620,39,-0.05492756130221103,2
3376,300,21,1.1976395902178703,1
3399,445,9,-0.06108734003107267,1
3418,868,8,-0.49154152941948137,0
3425,342,30,-0.46865036258752363,1
3426,791,1,-0.0270920997376701,2
3445,343,46,1.2064524416989697,1
3446,1111,1,-0.23096342988164997,0
3451,1194,3,-0.12165873418855752,0
3507,634,2,-0.490055158108196,2
3513,344,17,0.594005418365283,1
3554,655,4,-0.426388717964053,2
3634,414,4,-0.6718013763656046,1
3660,503,3,-0.4643091597660231,2
3709,1259,2,-0.1766370491392803,0
3751,755,5,14.66822202221319,2
3767,872,4,-0.125399824049784,0
3852,225,79,0.9032836512688754,1
3884,561,14,0.2857581102944692,2
3900,320,8,-0.10213496115026777,1
3904,635,6,0.598868370010144,2
3916,634,2,-0.44362055198974,2
3930,235,20,0.084266513502965,1
3934,1193,2,0.313226370147503,0
3941,1155,3,0.9883663422005748,0
3947,273,11,0.6942832140814694,1
3953,593,4,-0.275479631669207,2
4069,622,3,-0.5347042208154349,2
4103,628,23,-0.0018647266337135555,2
4117,390,11,0.571200171630302,1
4246,281,25,-0.2626350897266889,1
4254,358,29,-0.3535374629535139,1
4260,1096,5,-0.428555254797057,0
4274,928,6,-0.37776697460088743,0
4277,834,2,-0.5232368891808401,2
4288,525,9,0.6792801893506066,2
4308,1028,9,-0.10260393220729432,0
4317,1295,1,-0.25790268523178195,0
4322,221,196,0.4588131319667102,1
4356,277,24,0.06243605408402486,1
4399,865,1,-0.027463675673534,0
4475,1222,1,0.0175589418886391,0
4495,431,9,0.26059110842317273,1
4508,234,35,0.5114573566574525,1
4540,921,1,-0.25790268523178195,0
4582,475,6,0.13012563656447793,1
4633,1308,4,-0.6089195807393619,0
4635,319,11,0.2434017023675214,1
4724,432,5,-0.8080079882561562,1
4730,963,2,-0.2725593769825411,0
4758,227,14,0.5374634048204947,1
4776,481,24,1.1827263783656725,1
4801,426,27,-0.29921453094377815,1
4849,271,10,-0.16415420470085074,1
4873,382,26,0.3417273841742092,1
4876,258,13,0.6018082378014741,1
4896,614,13,-0.4096314208971923,2
4916,498,7,0.1886621837900174,2
4921,278,34,0.42973299763563916,1
4933,1050,8,-0.38463857154853515,0
4939,818,18,0.22961665231941178,2
4982,235,128,0.4453948788851643,1
4983,664,12,-0.16082916954271212,2
4988,404,8,0.6462131485642446,1
4995,452,18,0.154496746948326,1
5006,971,2,-0.49253852394622,0
5106,477,3,-0.37291373732051203,1
5160,596,43,0.37616761490285633,2
5173,399,7,-0.1897146238555456,1
5199,232,213,0.41283808336076044,1
5249,538,1,0.0279630680928276,2
5290,329,19,0.4511679612756051,1
5303,999,2,-0.25163965179340386,0
5306,485,1,-0.0230666937658115,1
5365,823,10,-0.13026849205305133,2
5417,550,16,-0.34007946735121336,2
5424,1210,2,-0.4639085980879081,0
5481,265,29,-0.11714237264028977,1
5496,819,19,-0.18063795080721642,2
5544,285,18,0.11764934185673141,1
5596,761,11,1.6191787975172156,2
5884,927,2,-0.507940346487777,0
5912,603,8,-0.5051831723507396,2
6022,631,21,-0.17120499777725082,2
6035,305,32,-0.3393122912493116,1
6085,704,15,-0.2803927564840813,2
6150,512,12,-0.358822467333627,2
6159,707,2,-0.467519077598052,2
6182,676,10,-0.2445250498222101,2
6214,1245,3,0.295458968520337,0
6228,378,14,-0.36933566983859656,1
6239,273,73,-0.14906936798685988,1
6251,227,56,0.6508632010354211,1
6319,945,4,0.1992987110387345,0
6378,238,25,0.20439015241575903,1
6420,575,2,-0.07239761326493499,2
6427,244,25,0.9866897757432218,1
6442,383,7,-0.2863716588949816,1
6446,792,10,0.6555284765834255,2
6498,466,3,0.4865350813128449,1
6527,810,11,3.4960114454285773,2
6530,270,2,-0.2272147269426187,1
6591,678,13,-0.5179580372427347,2
6599,418,1,-0.26719208362837804,1
6685,1076,3,0.273472201102044,0
6697,559,7,1.3720714680734993,2
6708,1110,4,1.369931666414149,0
6713,312,6,-0.2879054631337185,1
6750,488,38,0.9073618246597283,2
6781,234,23,-0.12770733193034586,1
6847,397,4,-0.6546097963996361,1
6858,949,14,0.5581979352475462,0
6952,434,15,-0.5867333760301671,1
6983,649,47,-0.20209635114457758,2
7012,882,8,0.8224737481147807,0
7015,280,4,-0.3538044553591771,1
7136,320,15,-0.2637514199594317,1
7175,796,6,0.2504016705374821,2
7283,964,3,-0.05712014762249901,0
7326,937,4,-0.24251034069584249,0
7332,613,6,0.04711565788417199,2
7341,273,24,1.2772451231564252,1
7352,1064,5,0.17903983224190298,0
7437,908,1,-0.205262760984399,0
7482,586,2,-0.490055158108196,2
7502,263,24,0.12922603232140734,1
7533,1264,2,-0.510442291122594,0
7584,460,15,-0.014356462623461205,1
7669,238,6,-0.2859732682672263,1
7701,937,2,-0.1964172747917678,0
7788,609,4,-0.3632858346559702,2
7826,1184,9,0.22528210511770522,0
7837,1133,5,2.486519891377701,0
7849,865,5,-0.3383768716290265,0
7869,462,3,-0.21371215568716004,1
7927,244,9,-0.4405497562665908,1
7966,1041,4,-0.4398389054703151,0
8008,371,6,0.239773979478548,1
8024,340,17,0.5637705255216642,1
8056,427,15,-0.24027359947332072,1
8061,904,2,-0.23244156177377032,0
8064,270,11,1.7111203678459266,1
8071,511,2,-0.49264380379471506,2
