Customer code,R,F,M,labels
353,235,11,0.27457610902062,2
1072,426,3,-0.333062218199112,1
1076,246,2,-0.23093048630125723,1
1080,356,23,-0.08560010345961898,3
1091,333,11,-0.510055296899832,1
1093,454,10,-0.16674693631303725,1
1095,309,23,-0.39623603780298705,3
1109,1068,2,-0.08701602987504597,0
1116,627,5,0.8151143568851478,2
1121,1156,2,-0.5079279606232481,0
1125,406,20,0.3766117693869817,2
1129,1079,3,0.42837725441788294,0
1131,641,19,-0.27345962912070537,3
1132,463,10,-0.1894925870606353,1
1134,440,8,-0.3250893766822298,1
1150,257,9,-0.07136181508386577,1
1154,313,20,-0.28608923776390255,3
1159,251,12,-0.5790936110535733,3
1161,262,17,-0.29135802522049803,3
1169,434,13,-0.3597757318835196,3
1177,242,15,-0.006414649811663953,3
1181,979,6,-0.28953903762567545,0
1204,853,15,-0.0054888043236973934,0
1215,620,2,-0.48484070914157307,1
1217,361,8,-0.08492273807675164,1
1223,245,2,-0.19996582497926746,1
1228,767,5,-0.5331600736750022,0
1229,375,26,-0.43144318178215496,3
1232,371,2,-0.45362833052900803,1
1243,271,14,-0.3893303393814216,3
1245,1128,3,-0.44355045081576117,0
1281,1181,3,0.024690964763103007,0
1299,719,5,-0.034809550366474554,0
1302,242,9,-0.3017043697220957,1
1316,529,7,-0.3234047555443123,1
1324,264,15,0.1259290387113512,3
1330,970,10,0.20144286557452298,0
1339,817,4,-0.3147394386353548,0
1342,397,10,-0.10171164279545937,1
1344,668,8,0.09193109933949128,2
1356,483,15,-0.348550104675291,3
1364,426,22,-0.39801431460541037,3
1365,984,5,-0.294602129918129,0
1370,1149,5,-0.3344041055814146,0
1388,671,17,-0.10923683825890683,3
1396,375,6,-0.3044694926302281,1
1400,894,6,1.0749646766182421,2
1402,694,4,0.002558542397206487,0
1405,522,20,0.06982795733990495,3
1413,329,22,-0.22126099449941647,3
1419,523,12,-0.2663258945253768,3
1421,438,6,-0.5332488817333005,1
1422,1028,2,-0.0652715271476835,0
1426,503,8,-0.44776024008448706,1
1451,468,11,0.6083467774042658,2
1452,558,17,-0.31890583938114436,3
1460,334,20,0.10427968053655184,3
1466,368,3,-0.2610633157807469,1
1470,540,25,-0.3542844550042657,3
1471,885,4,-0.257522937444582,0
1480,379,2,-0.20534129018476494,1
1488,489,2,-0.46509144815040804,1
1502,279,17,-0.23427685358314493,3
1505,845,6,-0.5657865478504477,0
1508,285,24,-0.42388279618600005,3
1514,929,5,0.057339114201474,0
1519,374,15,-0.016861197601865607,3
1521,683,7,-0.3631819594785397,1
1522,271,2,-0.498428002529662,1
1524,445,2,-0.1708466574720687,1
1525,519,8,-0.3431017491269163,1
1533,320,10,-0.15753396011020968,1
1544,783,2,-0.498229828697202,0
1545,495,7,-0.3423757713809177,1
1547,525,2,-0.08062999916339002,1
1559,922,5,-0.36674979079836506,0
1560,1077,2,0.01902864575437302,0
1565,894,11,-0.33445098678347046,0
1573,385,25,-0.036785819050708615,3
1583,671,8,-0.09568378361044472,0
1588,624,10,-0.020596257091370362,1
1610,432,11,-0.14245677178276533,3
1615,320,13,0.4675345760922936,2
1624,300,24,0.1887964731459014,3
1627,239,15,0.4795882214745787,2
1661,1117,6,-0.33692107698889967,0
1672,379,5,0.981445679875415,2
1688,465,22,0.30657153591572395,3
1693,259,2,0.03473392197688599,1
1698,1131,4,-0.19379147151166295,0
1706,1006,8,0.33120804253225994,0
1721,246,15,-0.35412457296161737,3
1729,386,14,-0.394861641560943,3
1730,767,7,-0.506398434441468,0
1732,991,3,-0.5590486375467827,0
1741,266,22,-0.18964036402991,3
1747,515,13,0.1621063857966535,2
1768,293,5,-0.45917930484450525,1
1770,314,5,-0.31428698441374436,1
1778,480,9,0.032271113854726606,1
1779,866,2,-0.5232368891808401,0
1787,570,17,-0.447489485555763,3
1788,1043,2,-0.2082891259426183,0
1817,519,10,0.7153866762471154,2
1821,1167,4,0.730909548091828,2
1840,286,7,-0.2719456170486744,1
1844,266,17,0.9783480155032266,2
1849,1175,8,-0.48860882130045574,0
1867,883,2,-0.5232368891808401,0
1885,845,2,-0.5232368891808401,0
1889,739,8,-0.4235000472319345,0
1901,361,13,-0.10078780002097801,3
1902,414,9,0.1445546134910613,2
1903,322,2,-0.238362005018535,1
1905,964,10,0.2013635960415363,0
1916,834,5,0.8361687783510351,2
1920,578,5,-0.26637660253668305,1
1945,320,9,-0.10844741583268,1
1947,354,4,0.72958611846693,2
1952,250,17,0.33775361872513515,2
1956,246,20,-0.2523465154985657,3
1984,278,10,-0.2829336157260047,1
2080,680,2,-0.25790268523178195,0
2154,330,11,-0.4933219939214287,1
2171,382,2,-0.52189921581173,1
